Session, looool0307:        	Garbage collected 43 outgoing messages in DC 2, 16 left
FeedLoop, looool0307:       	Resumed update feed loop channel 1580735342
Session, looool0307:        	Garbage collected 22 incoming messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 16 outgoing messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 10 incoming messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 9 outgoing messages in DC 2, 0 left
ReadLoop, looool0307:       	Got nothing in the socket in DC -4.8, reconnecting...
Connection, looool0307:     	Reconnecting DC -4.8
Connection, looool0307:     	Disconnecting from DC -4.8
Connection, looool0307:     	Disconnected from DC -4.8
DataCenter, looool0307:     	Reconnecting to DC -4 (8) from existing
DataCenterConnection, looool0307: 	Trying shared connection via tcp://149.154.167.43:443 main DC -4, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (8)
Connection, looool0307:     	Connecting to DC -4.8
Connection, looool0307:     	Connected to DC -4.8!
DataCenter, looool0307:     	OK!
SessionPaths, looool0307:   	Waiting for exclusive lock of D:\xampp\htdocs\comments\session.madeline\safe.php.lock...
SessionPaths, looool0307:   	Got exclusive lock of D:\xampp\htdocs\comments\session.madeline\safe.php.lock...
SessionPaths, looool0307:   	Waiting for exclusive lock of D:\xampp\htdocs\comments\session.madeline\lightState.php.lock...
SessionPaths, looool0307:   	Got exclusive lock of D:\xampp\htdocs\comments\session.madeline\lightState.php.lock...
APIWrapper, looool0307:     	Saved session!
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
FeedLoop, looool0307:       	Resumed update feed loop channel 1626553821
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
FeedLoop, looool0307:       	Resumed update feed loop channel 1626553821
FeedLoop, looool0307:       	Resumed update feed loop channel 1626553821
FeedLoop, looool0307:       	Resumed update feed loop channel 1938800596
FeedLoop, looool0307:       	MSGID duplicate (3626339) in update feed loop channel 1626553821
FeedLoop, looool0307:       	MSGID duplicate (3626340) in update feed loop channel 1626553821
FeedLoop, looool0307:       	MSGID duplicate (3626341) in update feed loop channel 1626553821
FeedLoop, looool0307:       	MSGID duplicate (3626342) in update feed loop channel 1626553821
FeedLoop, looool0307:       	MSGID duplicate (3626343) in update feed loop channel 1626553821
FeedLoop, looool0307:       	MSGID duplicate (3626344) in update feed loop channel 1626553821
Session, looool0307:        	Garbage collected 21 incoming messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 11 outgoing messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 31 incoming messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 35 outgoing messages in DC 2, 21 left
Session, looool0307:        	Garbage collected 27 incoming messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 21 outgoing messages in DC 2, 0 left
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
FeedLoop, looool0307:       	Resumed update feed loop channel 1626553821
Session, looool0307:        	Garbage collected 12 incoming messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 9 outgoing messages in DC 2, 0 left
ReadLoop, looool0307:       	Got nothing in the socket in DC -4.6, reconnecting...
Connection, looool0307:     	Reconnecting DC -4.6
Connection, looool0307:     	Disconnecting from DC -4.6
Connection, looool0307:     	Disconnected from DC -4.6
DataCenter, looool0307:     	Reconnecting to DC -4 (6) from existing
DataCenterConnection, looool0307: 	Trying shared connection via tcp://149.154.167.43:443 main DC -4, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream (6)
Connection, looool0307:     	Connecting to DC -4.6
Connection, looool0307:     	Connected to DC -4.6!
DataCenter, looool0307:     	OK!
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
UpdateHandler, looool0307:  	Parsing updates (updates) received via the socket...
SeqLoop, looool0307:        	Was fed updates of type updates...
FeedLoop, looool0307:       	Resumed update feed loop channel 1860600579
FeedLoop, looool0307:       	Resumed update feed loop channel 1626553821
Session, looool0307:        	Garbage collected 3 incoming messages in DC 2, 0 left
Session, looool0307:        	Garbage collected 1 outgoing messages in DC 2, 9 left
FeedLoop, looool0307:       	Resumed update feed loop channel 1860600579
FeedLoop, looool0307:       	Got channel too long update, getting difference...
FeedLoop, looool0307:       	MSGID duplicate (3626347) in update feed loop channel 1626553821
